,word_id,word,passage,sent_num,miscue,prior_sim_val,single_primer,word_len,totallog10,totalsubtlwf
143,29,senses,the_brain_and_five_senses,4,0.20253164556962025,0.4496583193540573,0.331309050321579,6.0,2.6365,8.47
144,29,winter,toads,3,0.028169014084507043,0.4317246079444885,0.45869025588035583,6.0,3.1265,26.22
145,30,air,air,6,0.05660377358490566,0.2724030017852783,0.2724030017852783,3.0,3.8507,139.02
149,30,work,the_brain_and_five_senses,4,0.0759493670886076,0.2503348688284556,0.26833075284957886,4.0,4.6096,798.02
155,32,called,air,6,0.18867924528301888,0.17982496321201324,0.06662553548812866,6.0,4.2391,340.02
157,32,hear,the_brain_and_five_senses,5,0.0759493670886076,0.20590165257453918,0.20590165257453918,4.0,4.4522,555.35
161,33,lived,mouse_in_the_house,5,0.1320754716981132,0.1963769793510437,0.1963769793510437,5.0,3.5275,66.04
163,33,wind,air,6,0.1320754716981132,0.29534710198640823,0.08241196721792221,4.0,3.4813,59.36999999999999
167,34,making,toads,4,0.02112676056338028,0.38062039017677307,0.38062039017677307,6.0,4.055,222.53
170,35,dog,the_surprise,5,0.012195121951219513,0.13133792579174042,0.13133792579174042,3.0,3.9928000000000003,192.84
171,35,ears,the_brain_and_five_senses,5,0.11392405063291139,0.2817050442099571,0.355862557888031,4.0,3.232,33.43
172,35,moves,air,7,0.16981132075471697,0.3250700533390045,0.3250700533390045,5.0,3.1526000000000005,27.84
173,35,nests,toads,4,0.04929577464788732,0.21527519822120667,0.21305499970912933,5.0,1.3802,0.45
176,36,house,mouse_in_the_house,5,0.05660377358490566,0.306144118309021,0.3466600775718689,5.0,4.4185,514.0
178,36,plants,air,7,0.2641509433962264,0.27488452941179276,0.20137591660022736,6.0,2.6893,9.57
179,36,underground,toads,4,0.02112676056338028,0.39894606669743854,0.4203149676322937,11.0,2.7882,12.02
181,37,heard,mouse_in_the_house,5,0.1320754716981132,0.23666684329509735,0.18590719997882843,5.0,4.2961,387.75
185,38,moves,air,8,0.09433962264150944,0.3250700533390045,0.3250700533390045,5.0,3.1526000000000005,27.84
186,38,sleep,toads,5,0.02112676056338028,0.16360965371131897,0.16360965371131897,5.0,4.0654,227.94
188,38,went,the_surprise,6,0.14634146341463414,0.23569971323013306,0.23569971323013306,4.0,4.322,411.51
190,39,dirt,air,8,0.20754716981132076,0.2220766544342041,0.16209393739700317,4.0,3.1176,25.690000000000005
192,39,mouse,mouse_in_the_house,5,0.05660377358490566,0.1545245572924614,0.10924302786588669,5.0,2.9894,19.12
195,40,eyes,the_brain_and_five_senses,6,0.0759493670886076,0.20621971786022186,0.20621971786022186,4.0,4.0531,221.55
197,40,look,the_surprise,6,0.04878048780487805,0.1566544994711876,0.18701769411563873,4.0,4.997,1947.2699999999998
202,41,nests,toads,5,0.035211267605633804,0.402361124753952,0.25551509857177734,5.0,1.3802,0.45
204,41,winds,air,9,0.2830188679245283,0.31568628549575806,0.31568628549575806,5.0,2.5854999999999997,7.53
210,43,day,toads,5,0.007042253521126761,0.19667969147364298,0.176146999001503,3.0,4.6117,801.82
211,43,mouse,mouse_in_the_house,6,0.09433962264150944,0.07358726114034653,0.07358726114034653,5.0,2.9894,19.12
213,43,present,the_surprise,6,0.21951219512195122,0.2375869552294413,0.319266676902771,7.0,3.6592999999999996,89.45
216,44,heavy,air,9,0.20754716981132076,0.4328750818967819,0.3954678773880005,5.0,3.3826,47.29
217,44,lived,mouse_in_the_house,6,0.1320754716981132,0.19644558057188988,0.04622902721166611,5.0,3.5275,66.04
223,45,noses,the_brain_and_five_senses,7,0.3670886075949367,0.3298792541027069,0.3298792541027069,5.0,2.3874,4.76
224,45,things,air,9,0.11320754716981132,0.2460182160139084,0.16840703785419464,6.0,4.5482,692.88
233,47,wall,mouse_in_the_house,6,0.1509433962264151,0.1023633867192378,7.501524123654235e-06,4.0,3.557,70.69
234,47,winds,air,10,0.32075471698113206,0.31568628549575806,0.31568628549575806,5.0,2.5854999999999997,7.53
240,49,dark,toads,6,0.007042253521126761,0.3097981810569763,0.3097981810569763,4.0,3.6550999999999996,88.61
244,49,toy,the_surprise,7,0.0975609756097561,-0.0699463039636612,-0.0699463039636612,3.0,2.9345,16.84
246,50,mouths,the_brain_and_five_senses,8,0.3037974683544304,0.30918335914611816,0.30918335914611816,6.0,2.4378,5.35
248,50,store,the_surprise,7,0.04878048780487805,0.20385734736919403,0.2754379212856293,5.0,3.6211,81.92
255,52,house,air,10,0.1320754716981132,0.18003740161657333,0.2096143215894699,5.0,4.4185,514.0
258,52,touch,the_brain_and_five_senses,9,0.12658227848101267,0.1704036444425583,0.1704036444425583,5.0,3.8771000000000004,147.73
263,53,things,the_brain_and_five_senses,9,0.17721518987341772,0.49426670372486115,0.37142887711524963,6.0,4.5482,692.88
268,54,play,the_surprise,8,0.0975609756097561,0.09845680743455887,0.09845680743455887,4.0,4.2572,354.53
272,55,station,the_surprise,8,0.24390243902439024,0.015319928526878357,0.07299511134624481,7.0,3.6056999999999997,79.08
275,56,air,air,11,0.20754716981132076,0.09353186935186386,0.09353186935186386,3.0,3.8507,139.02
276,56,food,toads,7,0.035211267605633804,0.11827229708433151,0.11827229708433151,4.0,3.8964000000000003,154.43
277,56,hands,the_brain_and_five_senses,9,0.0379746835443038,0.4183700283368428,0.4448991119861603,5.0,4.0815,236.53
281,57,man,mouse_in_the_house,8,0.018867924528301886,0.23612983524799347,0.23612983524799347,3.0,4.973700000000001,1845.75
282,57,sam,the_surprise,8,0.06097560975609756,-0.025537327863276005,-0.055005334317684174,3.0,3.7981,123.15999999999998
283,57,takes,toads,7,0.07042253521126761,0.12287259474396706,0.12163281440734863,5.0,3.7771999999999997,117.37
286,58,decided,mouse_in_the_house,8,0.37735849056603776,0.11456482298672199,0.04385991767048836,7.0,3.6553,88.65000000000002
287,58,place,toads,7,0.014084507042253521,0.21875062584877014,0.1766802966594696,5.0,4.4877,602.67
288,58,wanted,the_surprise,8,0.12195121951219512,0.15907099284231663,-0.039787180721759796,6.0,4.4085,502.27
296,60,eat,toads,8,0.09859154929577464,0.2594378888607025,0.2594378888607025,3.0,4.1088,251.88
298,60,sell,mouse_in_the_house,8,0.39622641509433965,0.07091804454103112,0.2250005006790161,4.0,3.6727,92.25
300,61,balloons,air,12,0.2830188679245283,0.1506548970937729,0.1506548970937729,8.0,2.3802,4.69
303,61,people,the_brain_and_five_senses,10,0.06329113924050633,0.2986314594745636,0.2986314594745636,6.0,4.7501,1102.98
305,62,bugs,toads,8,0.028169014084507043,0.35382162034511566,0.23341384530067444,4.0,2.8426,13.63
307,62,house,mouse_in_the_house,8,0.05660377358490566,0.26253078505396843,0.22266940772533417,5.0,4.4185,514.0
319,64,worms,toads,8,0.04225352112676056,0.5251377324263254,0.6154051423072815,5.0,2.5079,6.29
322,65,hear,the_brain_and_five_senses,10,0.06329113924050633,0.19531036168336868,0.20590165257453918,4.0,4.4522,555.35
326,66,money,the_surprise,9,0.07317073170731707,0.2768397927284241,0.2768397927284241,5.0,4.5143,640.76
327,66,old,mouse_in_the_house,9,0.05660377358490566,0.20893342792987823,0.20893342792987823,3.0,4.4922,608.94
328,66,smell,the_brain_and_five_senses,10,0.11392405063291139,0.25584961473941803,0.3600693941116333,5.0,3.6275,83.14
330,67,house,mouse_in_the_house,9,0.03773584905660377,0.2325364276766777,0.19874422252178192,5.0,4.4185,514.0
333,67,taste,the_brain_and_five_senses,10,0.11392405063291139,0.34893597662448883,0.6723256707191467,5.0,3.4179999999999997,51.31
335,68,air,air,13,0.07547169811320754,0.051036443561315536,0.051036443561315536,3.0,3.8507,139.02
343,69,touch,the_brain_and_five_senses,10,0.10126582278481013,0.320421040058136,0.46028560400009155,5.0,3.8771000000000004,147.73
344,69,weighs,air,13,0.3584905660377358,0.12229761853814125,0.10975616425275803,6.0,2.2529,3.4899999999999998
346,70,learned,toads,9,0.028169014084507043,0.24115990102291107,0.24115990102291107,7.0,3.472,58.11999999999999
351,71,red,the_surprise,10,0.036585365853658534,0.10467725992202759,0.10467725992202759,3.0,3.8780999999999994,148.06
356,72,bike,the_surprise,10,0.036585365853658534,0.021889016963541508,0.00794222392141819,4.0,3.1209,25.88
358,72,makes,the_brain_and_five_senses,11,0.06329113924050633,0.22571150958538055,0.22571150958538055,5.0,4.0898,241.09999999999997
359,72,try,toads,9,0.028169014084507043,0.2266356647014618,0.2671978771686554,3.0,4.3859,476.75
362,73,new,toads,9,0.014084507042253521,0.16653298834959665,0.14582784473896027,3.0,4.5672,723.78
365,74,foods,toads,9,0.04929577464788732,0.221811231225729,0.10012301802635193,5.0,2.1903,3.02
368,74,sam,the_surprise,10,0.07317073170731707,0.026175316733618573,0.04328959435224533,3.0,3.7981,123.15999999999998
372,75,senses,the_brain_and_five_senses,11,0.10126582278481013,0.4496583193540573,0.331309050321579,6.0,2.6365,8.47
376,76,capture,toads,10,0.04929577464788732,0.14265161752700806,0.14265161752700806,7.0,2.7332,10.59
378,76,love,the_surprise,10,0.036585365853658534,0.08006891049444675,-0.026423223316669464,4.0,4.7548,1114.98
379,76,work,the_brain_and_five_senses,11,0.0379746835443038,0.2503348688284556,0.26833075284957886,4.0,4.6096,798.02
382,77,prey,toads,10,0.07746478873239436,0.40787841379642487,0.32629668712615967,4.0,2.4502,5.51
389,79,paper,mouse_in_the_house,11,0.18867924528301888,0.1438918560743332,0.1438918560743332,5.0,3.722,103.34999999999998
392,80,air,air,15,0.05660377358490566,0.09353186935186386,0.09353186935186386,3.0,3.8507,139.02
395,80,sticky,toads,10,0.04225352112676056,0.1417987085878849,0.16235904395580292,6.0,2.4669,5.73
398,81,tongue,toads,10,0.13380281690140844,0.2502638231962919,0.4187338054180145,6.0,3.2014,31.16
400,82,100,mouse_in_the_house,12,0.07547169811320754,-0.09161631762981415,-0.09161631762981415,3.0,,
407,83,year,mouse_in_the_house,12,0.41509433962264153,0.12012319639325142,0.158310666680336,4.0,4.1515,277.92
410,84,old,mouse_in_the_house,12,0.09433962264150944,0.013057513162493706,0.14645196497440338,3.0,4.4922,608.94
412,85,house,mouse_in_the_house,12,0.03773584905660377,0.12591959908604622,0.19874422252178192,5.0,4.4185,514.0
414,85,land,toads,11,0.035211267605633804,0.20474667847156525,0.20474667847156525,4.0,3.6527,88.12
420,87,animal,the_surprise,12,0.06172839506172839,-0.06245702877640724,-0.06245702877640724,6.0,3.3657,45.49
422,87,sale,mouse_in_the_house,12,0.11320754716981132,0.10396179780364039,0.2513563632965088,4.0,3.1126,25.39
424,88,care,the_surprise,12,0.24691358024691357,0.15037539042532444,0.27604246139526367,4.0,4.3936,485.25
425,88,water,toads,11,0.04225352112676056,0.2405583094805479,0.4278491139411926,5.0,4.0599,225.06
427,89,center,the_surprise,12,0.2839506172839506,0.20239907503128052,0.25629404187202454,6.0,3.3685,45.78
429,90,3414,mouse_in_the_house,13,0.16981132075471697,0.42826932668685913,0.42826932668685913,4.0,,
433,91,odd,toads,12,0.07042253521126761,0.09819576889276505,0.09819576889276505,3.0,3.0888,24.04
435,92,eyes,toads,12,0.035211267605633804,0.16479291021823883,0.0778704285621643,4.0,4.0531,221.55
438,93,called,mouse_in_the_house,14,0.1320754716981132,0.07708162814378738,0.07708162814378738,6.0,4.2391,340.02
442,94,choose,the_surprise,13,0.18518518518518517,0.19933977723121643,0.19933977723121643,6.0,3.3895000000000004,48.06
443,94,help,toads,12,0.04929577464788732,0.011804427641133467,0.11435311287641525,4.0,4.6719,921.12
446,95,wanted,mouse_in_the_house,14,0.18867924528301888,0.3199473023414612,0.31491610407829285,6.0,4.4085,502.27
450,97,dog,the_surprise,13,0.06172839506172839,0.18694420903921127,0.1620907336473465,3.0,3.9927999999999995,192.84
451,97,swim,toads,12,0.06338028169014084,0.12855646247044206,0.1195773184299469,4.0,3.2103,31.800000000000004
452,97,visit,mouse_in_the_house,14,0.1509433962264151,0.19201317926247916,0.22733493149280548,5.0,3.4762999999999997,58.69
456,99,house,mouse_in_the_house,14,0.0,0.2446771375834942,0.24526271224021912,5.0,4.4185,514.0
457,99,hunt,toads,12,0.035211267605633804,0.17849246859550477,0.3230115473270416,4.0,3.1206,25.86
463,101,low,toads,12,0.04225352112676056,0.055162499037881695,-0.030947593972086906,3.0,3.4796,59.13999999999999
465,102,came,mouse_in_the_house,15,0.1320754716981132,0.1360793262720108,0.1360793262720108,4.0,4.3738,463.73
466,102,cute,the_surprise,14,0.14814814814814814,0.23729005455970764,0.23729005455970764,4.0,3.6508999999999996,87.75
467,102,light,toads,12,0.07042253521126761,0.18919244342084443,0.3347945511341095,5.0,3.9256,165.2
473,104,sunday,mouse_in_the_house,15,0.1320754716981132,0.10915539041161537,0.1377745121717453,6.0,3.3438,43.25
475,105,sat,the_surprise,15,0.09876543209876543,-0.0096772825345397,-0.0096772825345397,3.0,3.1643999999999997,28.61
480,107,outside,the_surprise,15,0.1728395061728395,0.244641225785017,0.0842232033610344,7.0,3.9381000000000004,170.02
487,109,old,mouse_in_the_house,16,0.07547169811320754,0.17197957634925842,0.17197957634925842,3.0,4.4922,608.94
489,110,cage,the_surprise,15,0.18518518518518517,0.15935146808624268,0.2072833627462387,4.0,3.0149,20.27
490,110,enables,toads,13,0.18309859154929578,0.060674903293450676,0.09269419312477112,7.0,1.5441,0.67
